"Game ID","Season","Month","Day","Year","Opponent","Site","UT AP Rank","Opp. AP Rank","UT Result","Opp. Result","W/L",
1198,2013,"November",30,2013,"Kentucky","Lexington","NR","NR",27,14,"W","Butch Jones"
1197,2013,"November",23,2013,"Vanderbilt","Knoxville","NR","NR",10,14,"L","Butch Jones"
1196,2013,"November",9,2013,"Auburn","Knoxville","NR",7,23,55,"L","Butch Jones"
1195,2013,"November",2,2013,"Missouri","Columbia, MO","NR",10,3,31,"L","Butch Jones"
1194,2013,"October",26,2013,"Alabama","Tuscaloosa","NR",1,10,45,"L","Butch Jones"
1193,2013,"October",19,2013,"South Carolina","Knoxville","NR",11,23,21,"W","Butch Jones"
1192,2013,"October",5,2013,"Georgia","Knoxville","NR",6,31,34,"L","Butch Jones"
1191,2013,"September",28,2013,"South Alabama","Knoxville","NR","NR",31,24,"W","Butch Jones"
1190,2013,"September",21,2013,"Florida","Gainesville","NR",19,17,31,"L","Butch Jones"
1189,2013,"September",14,2013,"Oregon","Eugene","NR",2,14,59,"L","Butch Jones"
1188,2013,"September",7,2013,"Western Kentucky","Knoxville","NR","NR",52,20,"W","Butch Jones"
1187,2013,"August",31,2013,"Austin Peay","Knoxville","NR","NR",45,0,"W","Butch Jones"
1186,2012,"November",24,2012,"Kentucky","Knoxville","NR","NR",17,37,"L","Derek Dooley"
1185,2012,"November",17,2012,"Vanderbilt","Nashville","NR","NR",18,41,"L","Derek Dooley"
1184,2012,"November",10,2012,"Missouri","Knoxville","NR","NR",48,51,"L","Derek Dooley"
1183,2012,"November",3,2012,"Troy","Knoxville","NR","NR",55,48,"W","Derek Dooley"
1182,2012,"October",27,2012,"South Carolina","Columbia","NR",17,35,38,"L","Derek Dooley"
1181,2012,"October",20,2012,"Alabama","Knoxville","NR",1,13,44,"L","Derek Dooley"
1180,2012,"October",13,2012,"Mississippi State","Starkville","NR",19,31,41,"L","Derek Dooley"
1179,2012,"September",29,2012,"Georgia","Knoxville","NR",5,44,51,"L","Derek Dooley"
1178,2012,"September",22,2012,"Akron","Knoxville","NR","NR",47,26,"W","Derek Dooley"
1177,2012,"September",15,2012,"Florida","Knoxville",23,18,20,37,"L","Derek Dooley"
1176,2012,"September",8,2012,"Georgia State","Knoxville","NR","NR",51,13,"W","Derek Dooley"
1175,2012,"August",31,2012,"North Carolina State","Atlanta","NR","NR",35,21,"W","Derek Dooley"
1174,2011,"November",26,2011,"Kentucky","Lexington","NR","NR",7,10,"L","Derek Dooley"
1173,2011,"November",19,2011,"Vanderbilt","Knoxville","NR","NR",27,21,"W","Derek Dooley"
1172,2011,"November",12,2011,"Arkansas","Fayetteville","NR",8,7,49,"L","Derek Dooley"
1171,2011,"November",5,2011,"MTSU","Knoxville","NR","NR",27,0,"W","Derek Dooley"
1170,2011,"October",29,2011,"South Carolina","Knoxville","NR",15,3,14,"L","Derek Dooley"
1169,2011,"October",22,2011,"Alabama","Tuscaloosa","NR",2,6,37,"L","Derek Dooley"
1168,2011,"October",15,2011,"LSU","Knoxville","NR",1,7,38,"L","Derek Dooley"
1167,2011,"October",8,2011,"Georgia","Knoxville","NR","NR",12,20,"L","Derek Dooley"
1166,2011,"October",1,2011,"Buffalo","Knoxville","NR","NR",41,10,"W","Derek Dooley"
1165,2011,"September",17,2011,"Florida","Gainesville","NR",16,23,33,"L","Derek Dooley"
1164,2011,"September",10,2011,"Cincinnati","Knoxville","NR","NR",45,23,"W","Derek Dooley"
1163,2011,"September",3,2011,"Montana","Knoxville","NR","NR",42,16,"W","Derek Dooley"
1162,2010,"December",30,2010,"North Carolina","Nashville","NR","NR",27,30,"L","Derek Dooley"
1161,2010,"November",27,2010,"Kentucky","Knoxville","NR","NR",24,14,"W","Derek Dooley"
1160,2010,"November",20,2010,"Vanderbilt","Nashville","NR","NR",24,10,"W","Derek Dooley"
1159,2010,"November",13,2010,"Mississippi","Knoxville","NR","NR",52,14,"W","Derek Dooley"
1158,2010,"November",6,2010,"Memphis","Memphis","NR","NR",50,14,"W","Derek Dooley"
1157,2010,"October",30,2010,"South Carolina","Columbia","NR",17,24,38,"L","Derek Dooley"
1156,2010,"October",23,2010,"Alabama","Knoxville","NR",7,10,41,"L","Derek Dooley"
1155,2010,"October",9,2010,"Georgia","Athens","NR","NR",41,14,"L","Derek Dooley"
1154,2010,"October",2,2010,"LSU","Baton Rouge","NR",12,14,16,"L","Derek Dooley"
1153,2010,"September",25,2010,"UAB","Knoxville","NR","NR",32,29,"W","Derek Dooley"
1152,2010,"September",18,2010,"Florida","Knoxville","NR",7,17,31,"L","Derek Dooley"
1151,2010,"September",11,2010,"Oregon","Knoxville","NR",11,13,48,"L","Derek Dooley"
1150,2010,"September",4,2010,"UT Martin","Knoxville","NR","NR",50,0,"W","Derek Dooley"
1149,2009,"December",31,2009,"Virginia Tech","Atlanta","NR",12,14,37,"L","Lane Kiffin"
1148,2009,"November",28,2009,"Kentucky","Lexington","NR","NR",30,24,"W","Lane Kiffin"
1147,2009,"November",21,2009,"Vanderbilt","Knoxville","NR","NR",31,16,"W","Lane Kiffin"
1146,2009,"November",14,2009,"Mississippi","Oxford","NR","NR",17,42,"L","Lane Kiffin"
1145,2009,"November",7,2009,"Memphis","Knoxville","NR","NR",56,28,"W","Lane Kiffin"
1144,2009,"October",31,2009,"South Carolina","Knoxville","NR","NR",31,13,"W","Lane Kiffin"
1143,2009,"October",24,2009,"Alabama","Tuscaloosa","NR",1,10,12,"L","Lane Kiffin"
1142,2009,"October",10,2009,"Georgia","Knoxville","NR","NR",45,19,"W","Lane Kiffin"
1141,2009,"October",3,2009,"Auburn","Knoxville","NR","NR",22,26,"L","Lane Kiffin"
1140,2009,"September",26,2009,"Ohio","Knoxville","NR","NR",34,23,"W","Lane Kiffin"
1139,2009,"September",19,2009,"Florida","Gainesville","NR",1,13,23,"L","Lane Kiffin"
1138,2009,"September",12,2009,"UCLA","Knoxville","NR","NR",15,19,"L","Lane Kiffin"
1137,2009,"September",5,2009,"Western Kentucky","Knoxville","NR","NR",63,7,"W","Lane Kiffin"
1136,2008,"November",29,2008,"Kentucky","Knoxville","NR","NR",28,10,"W","Phillip Fulmer"
1135,2008,"November",22,2008,"Vanderbilt","Nashville","NR","NR",20,10,"W","Phillip Fulmer"
1134,2008,"November",8,2008,"Wyoming","Knoxville","NR","NR",7,13,"L","Phillip Fulmer"
1133,2008,"November",1,2008,"South Carolina","Columbia","NR","NR",6,27,"L","Phillip Fulmer"
1132,2008,"October",25,2008,"Alabama","Knoxville","NR",2,9,29,"L","Phillip Fulmer"
1131,2008,"October",18,2008,"Mississippi State","Knoxville","NR","NR",34,3,"W","Phillip Fulmer"
1130,2008,"October",11,2008,"Georgia","Athens","NR",10,14,26,"L","Phillip Fulmer"
1129,2008,"October",4,2008,"Northern Illinois","Knoxville","NR","NR",13,9,"W","Phillip Fulmer"
1128,2008,"September",27,2008,"Auburn","Auburn","NR",15,12,14,"L","Phillip Fulmer"
1127,2008,"September",20,2008,"Florida","Knoxville","NR",4,6,30,"L","Phillip Fulmer"
1126,2008,"September",13,2008,"UAB","Knoxville","NR","NR",35,3,"W","Phillip Fulmer"
1125,2008,"September",1,2008,"UCLA","Pasadena","18","NR",24,27,"L","Phillip Fulmer"
1124,2007,"January",1,2008,"Wisconsin","Tampa","16","18",21,17,"W","Phillip Fulmer"
1123,2007,"December",1,2007,"LSU","Atlanta","14","5",14,21,"L","Phillip Fulmer"
1122,2007,"November",24,2007,"Kentucky","Lexington","19","NR",52,50,"W","Phillip Fulmer"
1121,2007,"November",17,2007,"Vanderbilt","Knoxville","19","NR",25,24,"W","Phillip Fulmer"
1120,2007,"November",10,2007,"Arkansas","Knoxville","22","NR",34,13,"W","Phillip Fulmer"
1119,2007,"November",3,2007,"Louisiana-Lafayette","Knoxville","24","NR",59,7,"W","Phillip Fulmer"
1118,2007,"October",27,2007,"South Carolina","Knoxville","24","15",27,24,"W","Phillip Fulmer"
1117,2007,"October",20,2007,"Alabama","Tuscaloosa","20","NR",17,41,"L","Phillip Fulmer"
1116,2007,"October",13,2007,"Mississippi State","Starkville","25","NR",33,21,"W","Phillip Fulmer"
1115,2007,"October",6,2007,"Georgia","Knoxville","NR","12",35,14,"W","Phillip Fulmer"
1114,2007,"September",22,2007,"Arkansas State","Knoxville","NR","NR",48,27,"W","Phillip Fulmer"
1113,2007,"September",15,2007,"Florida","Gainesville","22","5",20,59,"L","Phillip Fulmer"
1112,2007,"September",8,2007,"Southern Mississippi","Knoxville","23","NR",39,19,"W","Phillip Fulmer"
1111,2007,"September",1,2007,"California","Berkeley","15","12",31,45,"L","Phillip Fulmer"
