"id","city","state"
1,"Lexington","Kentucky"
2,"Knoxville","Tennessee"
3,"Columbia","Missouri"
4,"Tuscaloosa","Alabama"
5,"Gainesville","Florida"
6,"Eugene","Oregon"
7,"Nashville","Tennessee"
8,"Columbia","South Carolina"
9,"Starkville","Mississippi"
10,"Atlanta","Georgia"
11,"Fayetteville","Arkansas"
12,"Memphis","Tennessee"
13,"Athens","Georgia"
14,"Baton Rouge","Louisiana"
15,"Oxford","Mississippi"
16,"Auburn","Alabama"
17,"Pasadena","California"
18,"Tampa","Florida"
19,"Berkeley","California"
20,"South Bend","Indiana"
21,"Dallas","Texas"
22,"Miami","Florida"
23,"Orlando","Florida"
24,"Tempe","Arizona"
25,"Syracuse","New York"
26,"Little Rock","Arkansas"
27,"Birmingham","Alabama"
28,"Louisville","Kentucky"
29,"New Orleans","Louisiana"
30,"Anaheim","California"
31,"Boston","Massachusetts"
32,"East Rutherford","New Jersey"
33,"Jackson","Mississippi"
34,"El Paso","Texas"
35,"Los Angeles","California"
36,"Houston","Texas"
37,"Honolulu","Hawaii"
38,"Jacksonville","Florida"
39,"West Point","New York"
40,"Chapel Hill","North Carolina"
41,"College Park","Maryland"
42,"Durham","North Carolina"
43,"Chattanooga","Tennessee"
44,"Raleigh","North Carolina"
45,"New York","New York"
46,"Washington, D.C.","District of Columbia"
47,"Roanoke","Virginia"
48,"Danville","Kentucky"
49,"Columbus","Ohio"
50,"Hanover","Maryland"
51,"Maryville","Tennessee"
52,"Clemson","South Carolina"
53,"Macon","Georgia"
54,"Blacksburg","Virginia"
55,"Harriman","Tennessee"
56,"Sewanee","Tennessee"
57,"Bristol","Tennessee"
58,"Winston-Salem","North Carolina"
